X,Y,R,G,B,Brightness,Relative Diameter,Distance from Center
24,454,24.897959183673468,24.897959183673468,24.897959183673468,3411,4.123205661773682,478.21752372743515
27,479,27.551020408163264,27.551020408163264,27.551020408163264,3936,4.527792930603027,473.4659438650261
68,493,33.142857142857146,33.142857142857146,33.142857142857146,5865,5.700977325439453,432.0567092408125
88,308,26.591836734693878,26.591836734693878,26.591836734693878,7554,6.96429443359375,454.5415272557613
93,164,29.26530612244898,29.26530612244898,29.26530612244898,3225,3.6401548385620117,527.7736257146619
170,136,38.183673469387756,38.183673469387756,38.183673469387756,6429,5.099119663238525,491.3206692171621
181,45,37.714285714285715,37.714285714285715,37.714285714285715,16035,7.508595943450928,555.6851626595765
189,970,29.877551020408163,29.877551020408163,29.877551020408163,5034,4.272101879119873,563.5787433890672
198,984,32.183673469387756,32.183673469387756,32.183673469387756,45120,18.384876251220703,570.4910165813305
214,992,25.857142857142858,25.857142857142858,25.857142857142858,3417,4.272101879119873,569.0869880782726
279,985,29.367346938775512,29.367346938775512,29.367346938775512,12678,9.708344459533691,532.9784235782909
288,939,26.6734693877551,26.6734693877551,26.6734693877551,3918,3.5356338024139404,487.50897427637165
291,921,27.081632653061224,27.081632653061224,27.081632653061224,4482,4.301262855529785,470.02340367262565
293,994,35.285714285714285,35.285714285714285,35.285714285714285,10968,6.121899127960205,535.6164672599228
295,927,24.142857142857142,24.142857142857142,24.142857142857142,10392,8.500100135803223,473.66021576653446
301,915,31.122448979591837,31.122448979591837,31.122448979591837,2541,3.0414812564849854,460.24558661653674
309,986,30.020408163265305,30.020408163265305,30.020408163265305,5337,4.717090606689453,522.1848331769125
314,975,29.693877551020407,29.693877551020407,29.693877551020407,4998,4.609872341156006,510.1186136576473
325,904,31.428571428571427,31.428571428571427,31.428571428571427,11778,8.062357902526855,440.2737784606301
341,945,25.102040816326532,25.102040816326532,25.102040816326532,3378,4.123205661773682,472.5526425701162
352,983,31.367346938775512,31.367346938775512,31.367346938775512,8172,7.632268905639648,505.1663092487463
356,956,27.26530612244898,27.26530612244898,27.26530612244898,3810,4.123205661773682,478.1966122841106
360,995,28.26530612244898,28.26530612244898,28.26530612244898,5217,5.000100135803223,514.4171459039833
369,940,22.53061224489796,22.53061224489796,22.53061224489796,5235,6.96429443359375,459.0871376982805
377,907,28.448979591836736,28.448979591836736,28.448979591836736,30051,15.07573127746582,425.17996189848833
379,927,37.08163265306123,37.08163265306123,37.08163265306123,9885,8.139510154724121,443.81302369353693
399,855,26.122448979591837,26.122448979591837,26.122448979591837,14280,11.70479965209961,369.088065371938
400,901,43.51020408163265,43.51020408163265,43.51020408163265,131316,34.935752868652344,413.2807762284619
404,815,33.46938775510204,33.46938775510204,33.46938775510204,5736,5.385264873504639,329.3038110924318
408,993,25.73469387755102,25.73469387755102,25.73469387755102,8679,7.826338291168213,501.5107177319344
417,883,34.38775510204081,34.38775510204081,34.38775510204081,8754,6.96429443359375,391.89029077026134
421,825,29.428571428571427,29.428571428571427,29.428571428571427,3894,3.5356338024139404,334.463749904231
425,868,29.836734693877553,29.836734693877553,29.836734693877553,18780,10.198139190673828,375.5649078388448
434,881,49.673469387755105,49.673469387755105,49.673469387755105,49368,25.675962448120117,386.67428153421326
439,799,44.244897959183675,44.244897959183675,44.244897959183675,29388,11.124815940856934,305.15897496223175
446,839,51.51020408163265,51.51020408163265,51.51020408163265,35835,17.86766815185547,343.27394308336306
458,847,36.10204081632653,36.10204081632653,36.10204081632653,40197,16.286596298217773,349.53254497972
469,832,31.06122448979592,31.06122448979592,31.06122448979592,5505,4.311480522155762,333.44414824674914
477,821,26.102040816326532,26.102040816326532,26.102040816326532,4005,4.242740631103516,321.822932681933
492,815,33.714285714285715,33.714285714285715,33.714285714285715,9108,6.500100135803223,315.1015709259476
493,802,31.081632653061224,31.081632653061224,31.081632653061224,3537,3.201662063598633,302.08111493438315
493,789,29.93877551020408,29.93877551020408,29.93877551020408,6339,5.4084272384643555,289.0847626562147
504,895,31.3265306122449,31.3265306122449,31.3265306122449,27318,12.041694641113281,395.0202526453549
509,480,63.63265306122449,63.63265306122449,63.63265306122449,193877484,706.3997802734375,21.93171219946131
511,791,30.20408163265306,30.20408163265306,30.20408163265306,4992,4.123205661773682,291.20782956507196
523,787,45.224489795918366,45.224489795918366,45.224489795918366,9237,5.123134136199951,287.9201278132531
526,763,29.346938775510203,29.346938775510203,29.346938775510203,3621,3.3542017936706543,264.2820463065927
533,778,51.265306122448976,51.265306122448976,51.265306122448976,76740,17.755380630493164,279.95178156246834
551,747,30.387755102040817,30.387755102040817,30.387755102040817,8931,6.5193023681640625,252.21022976873877
553,676,29.551020408163264,29.551020408163264,29.551020408163264,36864,13.209944725036621,183.8069639594757
558,712,29.142857142857142,29.142857142857142,29.142857142857142,4398,3.8079864978790283,219.79080963497995
559,728,35.714285714285715,35.714285714285715,35.714285714285715,24336,13.58317756652832,235.51008470976353
565,671,30.489795918367346,30.489795918367346,30.489795918367346,8286,7.43313455581665,182.9371476764629
568,657,31.714285714285715,31.714285714285715,31.714285714285715,15984,8.329656600952148,171.09354166653983
569,687,30.755102040816325,30.755102040816325,30.755102040816325,3774,3.064218044281006,199.32385707686876
572,704,32.44897959183673,32.44897959183673,32.44897959183673,9033,6.946321964263916,216.33307652783935
572,740,29.6734693877551,29.6734693877551,29.6734693877551,360267,47.89824676513672,250.5673562138532
578,679,42.53061224489796,42.53061224489796,42.53061224489796,15750,8.20071029663086,195.25624189766637
590,706,29.836734693877553,29.836734693877553,29.836734693877553,6567,6.265082359313965,224.80213522117623
592,748,37.55102040816327,37.55102040816327,37.55102040816327,6126,4.272101879119873,264.51464987784703
